73	7231	546751b5.jpg	Another [Liz Sub]	Another	Another	Serie	done	2012	12	Horror	Tv-Aufzeichung	0	Anime.Sub/Another	542
74	1053	5467536d.jpg	Shiritsu Araiso Koutougakkou Seitokai Shikkoubu			OVA	done	2002	2	Komödie Sport Yaoi	kp	0	Anime.Sub/Araiso OVA	378
75	1767	546914df.jpg	Angel Heart			Serie	ongoing	2005	50	Action, Drama, Komödie, Krimi, Mystery, Romanze	DVD	0	Anime.Sub/Angel Heart	421
76	5708	54691d35.jpg	Aoi Bungaku Series			Serie	done	2009	10	Mystery, Psychodrama	TV	0	Anime.Sub/Aoi Bungaku	446
77	5287	546924c1.jpg	Aoi Hana		Sweet Blue Flowers	Serie	done	2009	11	Alltagsleben, Schule, Drama, Romanze, Yuri	TV	0	Anime.Sub/Aoi Hana	406
78	1088	54692963.jpg	Aoi Umi no Tristia		Tristia of the Deep Blue Sea	OVA	done	2004	2	Abenteuer, Action, Fantasy, Ganbatte, Komödie, Mecha	DVD	0	Anime.Sub/Aoi Umi no Tristia [C-Subs]	403
79	6926	54692b27.jpg	Aquarion Evol		Aquarion Evol	Serie	done	2012	26	Action, Drama, Fantasy, Komödie, Mecha, Romanze, Sci-Fi 	BD	0	Anime.Sub/Aquarion EVOL	415
80	5512	5469e317.jpg	Arakawa Under the Bridge		Arakawa Under the Bridge	Serie	done	2010	13	Komödie	TV	0	Anime.Sub/Arakawa Under the Bridge	497
81	8220	5469e3a6.jpg	Arata Kangatari		Arata the Legend	Serie	done	2013	12	Abenteuer, Magie 	TV	0	Anime.Sub/Arata Kangatari	395
82	4298	5469e523.jpg	Arata naru Sekai: Mirai-hen			Serie	done	2012	1	Action, Drama, Mecha 	DVD	0	Anime.Sub/Arata-Naru Sekai Mirai-Hen OVA	397
83	2621	546b2b67.jpg	Arc the Lad		Arc the Lad	Serie	done	1999	26	Abenteuer, Action, Drama, Fantasy, Horror, Romanze, Sci-Fi	TV	0	Anime.Sub/Arc the Lad	402
84	7435	546bcf8c.jpg	Area no Kishi		The Knight in the Area	Serie	done	2012	37	Sport	TV	0	Anime.Sub/Area no Kishi	410
85	1468	546bd2a1.jpg	Aria the Animation		Aria the Animation	Serie	done	2005	13	Alltagsdrama	TV	0	Anime.Sub/Aria - The Animation [C-Subs]	472
86	3044	546bd3de.jpg	Aria the Natural		Aria the Natural	Serie	done	2006	26	Alltagsdrama	TV	0	Anime.Sub/Aria the Natura [C-Subs]	415
87	5086	546bd630.jpg	Aria the Origination Picture Drama		Aria the Origination Picture Dramas	Bonus	done	2008	7	Comedy, Drama, Sci-Fi	DvD-Bonus	0	Anime.Sub/Aria the Origination Picture Drama [C-Subs]	475
88	2005	546bd71b.jpg	Neo Heroic Fantasia Arion			Serie	done	1986	1	Abenteuer	DVD	0	Anime.Sub/Arion	361
89	680	546bd7b0.jpg	Aru Tabibito no Nikki		The Diary of Tortov Roddle	Misc	done	2003	6	Abenteuer	/	0	Anime.Sub/Aru Tabibito no Nikki	398
90	7501	546bd9ac.jpg	Arve Rezzle: Kikaijikake no Yousei-tachi			Film	done	2013	1	Thriller, Action, Drama, Mystery, Sci-Fi	DVD	0	Anime.Sub/Arve Rezzle - Kikaijikake no Yoseitachi - Movie	392
91	7497	546bda60.jpg	Asa made Jugyou Chu!			OVA	done	2012	1	Komödie	DVD	0	Anime.Sub/Asa Made Jugyou Chu! [C-Subs]	393
92	726	546bdad2.jpg	Asagiri no Miko		Shrine of the Morning Mist	Serie	done	2002	26	Action, Komödie	TV	0	Anime.Sub/Asagiri no Miko [C-Subs]	445
93	3624	546bddb6.jpg	Asatte no Houkou		Living for the Day After Tomorrow	Serie	done	2006	12	Drama, Alltagsleben, Mystery, Romanze 	TV	0	Anime.Sub/Asatte no houkou	394
94	5489	546bdff5.jpg	Asobi ni Iku yo!		Cat Planet Cuties	Serie	done	2010	12	Romanze, Komödie, Action, Ecchi, Harem, Romanze, Sci-Fi 	DVD	0	Anime.Sub/Asobi ni Iku Yo!	429
95	6584	546be149.jpg	Astarotte no Omocha!		Astarotte's Toy	Serie	done	2011	12	Ecchi, Fantasy, Komödie, Romanze, Magie	TV	0	Anime.Sub/Astarottes Toy	440
96	4498	546be2c6.jpg	Asu no Yoichi!		Samurai Harem	Serie	done	2009	12	Romanze, Komödie, Action, Ecchi, Harem, Martial Arts	TV	0	Anime.Sub/Asu no Yoichi	432
97	5144	546be511.jpg	Asura Cryin'		Asura Cryin'	Serie	done	2009	13	Action, Drama, Fantasy, Komödie, Mecha, Romanze, Schule	TV	0	Anime.Sub/Asura Cryin	637
98	5469	546be66f.jpg	Asura Cryin' 2		Asura Cryin' 2	Serie	done	2009	13	Action, Drama, Komödie, Mecha, Magie, Schule, Fantasy	TV	0	Anime.Sub/Asura Cryin 2	401
99	7942	546be865.jpg	Aura: Maryuuinkouga Saigo no Tatakai	Aura: Koga Maryuin’s Last War	Aura: Koga Maryuin’s Last War	Film	done	2013	1	Alltagsdrama, Romanze, Schule	DVD	0	Anime.Sub/Aura Maryuuinkouga Saigo no Tatakai	383
100	1299	546d112f.jpg	Avenger		Avenger	Serie	done	2003	13	Abenteuer, Action, Fantasy, Sci-Fi, Krieg	TV	0	Anime.Sub/Avenger	415
101	6871	546d1610.jpg	Pretty Rhythm: Aurora Dream			Serie	done	2011	51	Komödie Romanze Weiblich	TV	0	Anime.Sub/Aurora Dream	403
